SN+ Sample Number (READONLY)+,XG+ Gravity Center+,YG+ Gravity Center+,ZG+ Gravity Center+,chloride_klassen{laag},chloride_klassen{midden},chloride_klassen{hoog}
2527852,13775.00,370825.00,-40.25,0,0,0
2527853,13775.00,370825.00,-39.75,0,0,0
2527854,13775.00,370825.00,-39.25,0,0,0
2527855,13775.00,370825.00,-38.75,0,0,0
2527856,13775.00,370825.00,-38.25,0,0,0
2527857,13775.00,370825.00,-37.75,0,0,300
2527858,13775.00,370825.00,-37.25,0,0,500
2527859,13775.00,370825.00,-36.75,0,0,500
2527860,13775.00,370825.00,-36.25,0,0,500
2527861,13775.00,370825.00,-35.75,0,0,750
2527862,13775.00,370825.00,-35.25,0,0,1000
2527863,13775.00,370825.00,-34.75,0,0,1000
2527864,13775.00,370825.00,-34.25,0,0,1250
2527865,13775.00,370825.00,-33.75,0,500,1500
2527866,13775.00,370825.00,-33.25,0,750,1500
2527867,13775.00,370825.00,-32.75,0,1000,2000
2527868,13775.00,370825.00,-32.25,0,1000,2000
2527869,13775.00,370825.00,-31.75,0,1000,2000
2527870,13775.00,370825.00,-31.25,0,750,2000
2527871,13775.00,370825.00,-30.75,0,750,2000
2527872,13775.00,370825.00,-30.25,0,750,2000
2527873,13775.00,370825.00,-29.75,0,750,2000
2527874,13775.00,370825.00,-29.25,0,1000,2000
2527875,13775.00,370825.00,-28.75,0,1250,2000
2527876,13775.00,370825.00,-28.25,0,1250,2000
2527877,13775.00,370825.00,-27.75,300,1500,3000
2527878,13775.00,370825.00,-27.25,500,2000,3000
2527879,13775.00,370825.00,-26.75,750,2000,3000
2527880,13775.00,370825.00,-26.25,750,2000,3000
2527881,13775.00,370825.00,-25.75,1000,2000,3000
2527882,13775.00,370825.00,-25.25,1500,2000,3000
2527883,13775.00,370825.00,-24.75,2000,3000,5000
2527884,13775.00,370825.00,-24.25,3000,3000,5000
2527885,13775.00,370825.00,-23.75,3000,5000,5000
2527886,13775.00,370825.00,-23.25,3000,5000,7500
2527887,13775.00,370825.00,-22.75,3000,5000,7500
2527888,13775.00,370825.00,-22.25,3000,5000,7500
2527889,13775.00,370825.00,-21.75,3000,5000,7500
2527890,13775.00,370825.00,-21.25,3000,5000,7500
2527891,13775.00,370825.00,-20.75,3000,5000,5000
2527892,13775.00,370825.00,-20.25,3000,5000,5000
2527893,13775.00,370825.00,-19.75,3000,5000,5000
2527894,13775.00,370825.00,-19.25,3000,5000,5000
2527895,13775.00,370825.00,-18.75,3000,3000,5000
2527896,13775.00,370825.00,-18.25,3000,3000,5000
2527897,13775.00,370825.00,-17.75,2000,3000,5000
2527898,13775.00,370825.00,-17.25,2000,3000,5000
2527899,13775.00,370825.00,-16.75,2000,3000,5000
2527900,13775.00,370825.00,-16.25,2000,3000,5000
2527901,13775.00,370825.00,-15.75,2000,3000,3000
2527902,13775.00,370825.00,-15.25,2000,3000,3000
2527903,13775.00,370825.00,-14.75,2000,3000,3000
2527904,13775.00,370825.00,-14.25,2000,3000,3000
2527905,13775.00,370825.00,-13.75,1500,3000,3000
2527906,13775.00,370825.00,-13.25,1500,2000,3000
2527907,13775.00,370825.00,-12.75,1250,2000,3000
2527908,13775.00,370825.00,-12.25,1000,2000,3000
2527909,13775.00,370825.00,-11.75,500,2000,3000
2527910,13775.00,370825.00,-11.25,0,750,2000
2527911,13775.00,370825.00,-10.75,0,500,2000
2527912,13775.00,370825.00,-10.25,0,500,2000
2527913,13775.00,370825.00,-9.75,0,500,2000
2527914,13775.00,370825.00,-9.25,0,300,1500
2527915,13775.00,370825.00,-8.75,0,150,1000
2527916,13775.00,370825.00,-8.25,0,150,1000
2527917,13775.00,370825.00,-7.75,0,150,750
2527918,13775.00,370825.00,-7.25,0,0,300
2527919,13775.00,370825.00,-6.75,0,0,0
2527920,13775.00,370825.00,-6.25,0,0,0
2527921,13775.00,370825.00,-5.75,0,0,0
2527922,13775.00,370825.00,-5.25,0,0,0
2527923,13775.00,370825.00,-4.75,0,0,0
2527924,13775.00,370825.00,-4.25,0,0,0
2527925,13775.00,370825.00,-3.75,0,0,0
2527926,13775.00,370825.00,-3.25,0,0,0
2527927,13775.00,370825.00,-2.75,0,0,0
2527928,13775.00,370825.00,-2.25,0,0,0
2527929,13775.00,370825.00,-1.75,0,0,0
2527930,13775.00,370825.00,-1.25,0,0,0
2527931,13775.00,370825.00,-0.75,0,0,0
2527932,13775.00,370825.00,-0.25,0,0,0
2527933,13775.00,370825.00,0.25,0,0,0
2527934,13775.00,370825.00,0.75,0,0,0
2527935,13775.00,370825.00,1.25,0,0,0
2527936,13775.00,370825.00,1.75,0,0,0
2528242,13775.00,370875.00,-40.25,0,0,0
